student_id,age,gender,academic_level,country,avg_daily_usage_hours,most_used_platform,affects_academic_performance,sleep_hours_per_night,mental_health_score,relationship_status,conflicts_over_social_media,addicted_score,weekly_usage_hours,addiction_level
1,19,Female,Undergraduate,Bangladesh,5.2,Instagram,Yes,6.5,6,In Relationship,3,8,36.4,High
2,22,Male,Graduate,India,2.1,Twitter,No,7.5,8,Single,0,3,14.700000000000001,Low
3,20,Female,Undergraduate,USA,6.0,TikTok,Yes,5.0,5,Complicated,4,9,42.0,High
4,18,Male,High School,UK,3.0,YouTube,No,7.0,7,Single,1,4,21.0,Medium
5,21,Male,Graduate,Canada,4.5,Facebook,Yes,6.0,6,In Relationship,2,7,31.5,High
6,19,Female,Undergraduate,Australia,7.2,Instagram,Yes,4.5,4,Complicated,5,9,50.4,High
7,23,Male,Graduate,Germany,1.5,LinkedIn,No,8.0,9,Single,0,2,10.5,Low
8,20,Female,Undergraduate,Brazil,5.8,Snapchat,Yes,6.0,6,In Relationship,2,8,40.6,High
9,18,Male,High School,Japan,4.0,TikTok,No,6.5,7,Single,1,5,28.0,Medium
10,21,Female,Graduate,South Korea,3.3,Instagram,No,7.0,7,In Relationship,1,4,23.099999999999998,Medium
11,19,Male,Undergraduate,France,4.8,Snapchat,Yes,6.2,5,Complicated,3,7,33.6,High
12,20,Female,Undergraduate,Spain,5.5,TikTok,Yes,5.8,6,In Relationship,2,8,38.5,High
13,22,Male,Graduate,Italy,2.8,LinkedIn,No,7.2,8,Single,1,4,19.599999999999998,Medium
14,18,Female,High School,Mexico,6.5,Instagram,Yes,5.5,5,Single,4,9,45.5,High
15,21,Male,Undergraduate,Russia,3.7,YouTube,No,6.8,7,In Relationship,2,5,25.900000000000002,Medium
16,20,Female,Undergraduate,China,4.2,TikTok,Yes,6.0,6,Complicated,3,7,29.400000000000002,High
17,24,Male,Graduate,Sweden,2.0,LinkedIn,No,7.8,8,Single,0,3,14.0,Low
18,19,Female,High School,Norway,5.0,Instagram,Yes,5.7,5,In Relationship,3,8,35.0,High
19,21,Male,Undergraduate,Denmark,3.5,Facebook,No,6.7,7,Single,1,5,24.5,Medium
20,20,Female,Undergraduate,Netherlands,4.7,Snapchat,Yes,5.9,6,Complicated,3,7,32.9,High
21,18,Male,High School,Belgium,5.3,TikTok,Yes,5.5,5,Single,4,8,37.1,High
22,23,Female,Graduate,Switzerland,2.5,LinkedIn,No,7.3,8,In Relationship,1,4,17.5,Medium
23,19,Male,Undergraduate,Austria,4.9,Instagram,Yes,5.8,6,Complicated,3,7,34.300000000000004,High
24,20,Female,Undergraduate,Portugal,5.7,TikTok,Yes,5.4,5,Single,4,8,39.9,High
25,22,Male,Graduate,Greece,3.2,Facebook,No,6.9,7,In Relationship,2,5,22.400000000000002,Medium
26,19,Female,High School,Ireland,6.1,Instagram,Yes,5.2,5,Complicated,4,9,42.699999999999996,High
27,21,Male,Undergraduate,New Zealand,3.8,YouTube,No,6.6,7,Single,1,5,26.599999999999998,Medium
28,20,Female,Undergraduate,Singapore,4.4,TikTok,Yes,5.9,6,In Relationship,3,7,30.800000000000004,High
29,24,Male,Graduate,Malaysia,2.2,LinkedIn,No,7.4,8,Single,0,3,15.400000000000002,Low
30,19,Female,High School,Thailand,5.9,Instagram,Yes,5.3,5,Complicated,4,8,41.300000000000004,High
31,21,Male,Undergraduate,Vietnam,3.6,Facebook,No,6.7,7,Single,1,5,25.2,Medium
32,20,Female,Undergraduate,Philippines,4.8,Snapchat,Yes,5.7,6,In Relationship,3,7,33.6,High
33,18,Male,High School,Indonesia,5.4,TikTok,Yes,5.4,5,Complicated,4,8,37.800000000000004,High
34,23,Female,Graduate,Taiwan,2.6,LinkedIn,No,7.2,8,Single,1,4,18.2,Medium
35,19,Male,Undergraduate,Hong Kong,4.7,Instagram,Yes,5.8,6,In Relationship,3,7,32.9,High
36,20,Female,Undergraduate,Turkey,5.6,TikTok,Yes,5.5,5,Complicated,4,8,39.199999999999996,High
37,22,Male,Graduate,Israel,3.1,Facebook,No,6.8,7,Single,1,5,21.7,Medium
38,19,Female,High School,UAE,6.2,Instagram,Yes,5.1,5,In Relationship,4,9,43.4,High
39,21,Male,Undergraduate,Egypt,3.9,YouTube,No,6.5,7,Complicated,2,6,27.3,Medium
40,20,Female,Undergraduate,Morocco,4.5,TikTok,Yes,5.8,6,Single,3,7,31.5,High
